tradingDate,VNINDEX PB,HNXIndex PB,UpcomIndex PB,OILGAS_L2 PB,CHEMICAL_L2 PB,BASICRES_L2 PB,CONSTRMAT_L2 PB,INDUSTGDS_L2 PB,AUTOPARTS_L2 PB,FOODBEVERA_L2 PB,PERSHHOLD_L2 PB,HEALTHCARE_L2 PB,RETAIL_L2 PB,MEDIA_L2 PB,TRAVELLSR_L2 PB,TELECOM_L2 PB,UTILITIES_L2 PB,BANKS_L2 PB,INSURANCE_L2 PB,REALESTATE_L2 PB,FINSERV_L2 PB,TECHNOLOGY_L2 PB
2010-01-29,2.24686365,2.03873523,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-01,2.26671156,2.06389117,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-02,2.27539499,2.07782767,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-03,2.31204756,2.07728038,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-04,2.34491499,2.10755023,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-05,2.3036677,2.08228082,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-08,2.29547248,2.06710932,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-09,2.23283278,2.05222898,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-10,2.29555763,2.08878451,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-11,2.34227635,2.0997298,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-12,2.37130812,2.14385667,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-22,2.39112805,2.15258922,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-23,2.33696869,2.09399417,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-24,2.34102544,2.083404,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-25,2.34700236,2.1079579,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-02-26,2.37043707,2.10524822,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-01,2.40870606,2.15063017,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-02,2.38977776,2.14813851,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-03,2.41439048,2.19416927,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-04,2.43177483,2.2072763,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-05,2.43259894,2.19694656,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-08,2.46290172,2.21688232,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-09,2.49653163,2.23277168,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-10,2.4891424,2.23114608,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-11,2.47968046,2.267347,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-12,2.50785289,2.28375451,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-15,2.50629687,2.31729715,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-16,2.43170943,2.24963036,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-17,2.40061782,2.22392913,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-18,2.43862889,2.23957512,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-19,2.41440207,2.24971156,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-22,2.40467893,2.23217609,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-23,2.3857861,2.2122404,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-24,2.40862784,2.22519969,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-25,2.36491333,2.16650877,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-26,2.38097003,2.17324025,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-29,2.37906835,2.17612003,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-30,2.35325407,2.16860111,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-03-31,2.34671103,2.15761089,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-01,2.38358601,2.1699374,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-02,2.39260982,2.18676034,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-05,2.41162082,2.21291167,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-06,2.41424951,2.2291121,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-07,2.41511027,2.23293985,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-08,2.41289741,2.26981261,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-09,2.41959418,2.29202786,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-12,2.43608357,2.28561115,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-13,2.42298813,2.26112517,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-14,2.41175279,2.25516121,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-15,2.43329097,2.28740899,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-16,2.43832672,2.32073059,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-19,2.41633908,2.32453034,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-20,2.42288603,2.3193121,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-21,2.44278087,2.386908,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-22,2.48986396,2.4309161,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-26,2.49548191,2.40287486,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-27,2.51984947,2.3950888,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-28,2.53274303,2.40038053,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-04-29,2.54296786,2.43231648,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-04,2.59656855,2.50180847,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-05,2.58539888,2.49017508,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-06,2.58888762,2.52755402,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-07,2.56093345,2.499337,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-10,2.52881803,2.46843867,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-11,2.52936118,2.5000177,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-12,2.46222386,2.41630207,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-13,2.46164635,2.38300369,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-14,2.4675764,2.36672333,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-17,2.42759526,2.35200548,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-18,2.41460998,2.31270654,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-19,2.35082981,2.22811154,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-20,2.39004229,2.20702617,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-21,2.29834999,2.11625984,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-22,2.29834999,2.11625984,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-24,2.31585168,2.15302175,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-25,2.3169005,2.16866502,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-26,2.35015555,2.21956836,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-27,2.37486061,2.22384431,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-28,2.44529449,2.31919442,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-05-31,2.42142737,2.29466726,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-06-01,2.42615381,2.27278591,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-06-02,2.4323874,2.2649183,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
2010-06-03,2.43346278,2.29658082,,3.35450722,2.42420418,2.10227285,2.09303647,1.61315016,3.25194346,3.49459865,1.6850408,2.42841912,1.72783382,1.23265362,2.76786021,,1.53122281,2.5973057,1.60355911,3.59987452,2.5913838,2.25499628
